Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
203,374,87183,233.109625668,22.522087316,129.141538018,128.612299465,69.201324761,21.548094793,11.969191394,88.125400539,0.645704862,0.825613485,24.550774147,347.286096257,291.796791444,90.381742868,14.001557995,29396.112299465,129.737967914,0.015503484,-0.402615504
204,379,87656,231.2823219,22.644277964,128.99371199,129.699208443,68.838910571,21.688393297,11.774593178,86.742274631,0.638381913,0.821970786,24.531296605,345.279683377,286.633245383,92.592430297,13.784414337,29162.646437995,129.643799472,0.018186088,-0.429458205
205,368,88451,240.355978261,22.849651253,128.294361591,128.135869565,71.160055894,21.863074326,12.104111704,89.289561932,0.644694374,0.822194062,24.931677686,345.551630435,284.448369565,91.029588685,14.244014837,30189.883152174,128.880434783,0.013841339,-0.385606387
206,368,89096,242.108695652,23.016274864,128.937948103,128.538043478,71.525024805,22.306009399,12.194599473,92.407573293,0.636951576,0.822109342,25.277071216,342.817934783,289.184782609,92.444357208,14.301326312,30631.600543478,129.491847826,-0.000658073,-0.434477851
207,365,88728,243.090410959,22.92120899,127.56889916,126.983561644,71.394759659,22.171872408,12.254021249,93.994264931,0.63705634,0.823761703,25.190681775,337.35890411,292.232876712,93.278512905,14.375432122,30478.123287671,128.295890411,-0.044551446,-0.441976157
208,372,90274,242.672043011,23.320588995,128.640208234,128.362903226,71.121892832,22.178034817,12.180605915,92.784707792,0.636120995,0.823735862,25.141474571,337.432795699,288.798387097,93.930992285,14.284945214,30592.005376344,129.325268817,0.002826885,-0.469590457
209,371,90218,243.175202156,23.306122449,128.274130829,127.23180593,71.657591797,22.074839154,12.222210626,93.878458903,0.637804369,0.822162339,25.105595602,345.140161725,288.628032345,94.07979437,14.293132099,30529.938005391,128.81671159,0.01721448,-0.41840037
210,381,91111,239.13648294,23.536812193,129.456017281,128.503937008,70.60783176,21.895597124,11.949957693,93.652734305,0.631790585,0.82304765,24.736738411,345.527559055,294.044619423,93.203054074,14.003796386,30159.587926509,130.065616798,0.018431288,-0.433555663
211,381,90565,237.703412073,23.395763369,128.848044748,128.228346457,69.9669105,21.924693466,12.086324744,90.377967026,0.640117372,0.826548872,24.758470192,346.217847769,289.482939633,92.082975538,14.147663134,29896.362204724,129.49343832,-0.010263581,-0.438195199
212,374,91789,245.42513369,23.711960734,129.131360855,128.577540107,71.310863589,22.277187907,12.321038635,91.15702714,0.631657846,0.82459243,25.167373847,344.090909091,286.195187166,93.480913155,14.433126491,30958.85026738,129.847593583,-0.016808808,-0.420136203
213,366,89554,244.683060109,23.134590545,128.415647976,129.412568306,71.688172377,22.247449605,12.302951459,91.184644379,0.629947965,0.825652258,25.190589713,345.546448087,293.193989071,91.248657075,14.352247675,30738.595628415,129.210382514,-0.017969562,-0.459137232
214,381,89230,234.199475066,23.050891243,128.790278617,128.6167979,69.16699042,21.597163338,12.103570571,92.767463378,0.643012037,0.829346847,24.342127109,342.94488189,291.900262467,95.064013401,14.082945651,29464.805774278,129.556430446,0.009197508,-0.415239389
215,373,90160,241.715817694,23.291139241,128.024621324,127.490616622,70.818905618,22.146382417,12.221154882,88.217092382,0.636880552,0.826455037,25.027647476,345.790884718,294.404825737,88.49613068,14.314380398,30308.654155496,128.978552279,-0.042523631,-0.417186207
216,381,89882,235.910761155,23.219323172,128.828687012,127.963254593,69.635674439,21.268168332,12.166686183,88.400620409,0.650770008,0.829900098,24.17367509,347.251968504,292.56167979,89.317785251,14.19283354,29705.204724409,129.530183727,0.011041063,-0.396652371
217,387,91334,236.005167959,23.594420046,128.629040247,127.821705426,69.106685636,21.555340633,12.155732972,88.554270465,0.645089864,0.830515902,24.313361765,346.015503876,285.857881137,89.63875433,14.060583374,29697.744186047,129.335917313,-0.00619868,-0.400281357
